endereco,fim,tamanho,n_insn,chamadores,chama,strings,perifericos,globais_ram,papel_inferido
0x0800C34E,0x0800C35E,0x10,8,0x08002986 0x0800BC36 0x0800BC5A 0x0800BEA0 0x0800BFE2 0x0800C014 0x0800C21A,,,,,
0x0800C35E,0x0800C378,0x1A,12,0x08009430 0x0800E114 0x0800E128,0x0800B478,,,,
0x0800C378,0x0800C38A,0x12,8,0x0800B178,0x0800B4D0,,,,
0x0800C38A,0x0800C39E,0x14,9,0x08008E12 0x08008E28 0x08008E3A 0x08008E4A 0x08008E5A 0x08008E6A 0x08008E7A 0x08008E8A,0x0800B4D4,,,,
0x0800C39E,0x0800C3AC,0xE,6,0x08008F0E 0x08009612 0x08009E38,0x0800B5F4,,,,
0x0800C3AC,0x0800C3B4,0x8,4,0x08008DDE,,,,,
0x0800C3B4,0x0800C3D6,0x22,16,0x0800AD02,0x0800B764,,,,
0x0800C3D6,0x0800C3E8,0x12,8,0x0800AF96,0x0800B990,,,,
0x0800C3E8,0x0800C406,0x1E,14,0x0800E0EA,0x0800B994,,,,
0x0800C406,0x0800C41C,0x16,10,0x08009454 0x0800A706 0x0800A778,0x0800BAB4,,,,
0x0800C41C,0x0800C42E,0x12,8,0x0800AEE6,0x0800BBF0,,,,
0x0800C42E,0x0800C43C,0xE,6,0x0800A62E,0x0800BC84,,,,
0x0800C43C,0x0800C44A,0xE,6,0x0800EB94,0x0800BCAC,,,,
0x0800C44A,0x0800C464,0x1A,12,0x0800E9BA,0x0800BCF4,,,,
0x0800C464,0x0800C476,0x12,8,0x0800B004,0x0800BE50,,,,
0x0800C476,0x0800C48C,0x16,10,0x080091E6 0x080093FE 0x0800947C 0x080094EA 0x0800950A 0x08009524 0x08009554 0x0800967E,0x0800BE56,,,,
0x0800C48C,0x0800C510,0x84,66,0x08008F40 0x080096C4 0x0800A7CA,,,,0x200001D8 0x2000144C,
0x0800C510,0x0800C5A4,0x94,60,0x0800CB66 0x0800D25E,0x0800D352 0x0800E030 0x0800D5DC,,,,
0x0800C5A4,0x0800C5BC,0x18,12,0x08009460 0x0800A712 0x0800A784,,,,,
0x0800C5BC,0x0800C5F0,0x34,25,0x08007EA8 0x08008050,0x08004A20,,RCC+0x0,0x20000538,
0x0800C5F0,0x0800C628,0x38,27,0x08007E2C 0x08007E7A 0x08007F62 0x08007FC8 0x0800800C,0x08004A20,,RCC+0x0,0x2000054C,
0x0800C628,0x0800C6FC,0xD4,93,0x08001C82,0x0800EE60 0x0800EE6C 0x08004C12 0x08004DE4 0x08004CCC 0x080009A8 0x08000770 0x08000930 0x08000754 0x08000AF4,,,0x20000478,
0x0800C6FC,0x0800C7D4,0xD8,95,0x08001C7C,0x0800EE60 0x0800EE6C 0x08004C12 0x08004DE4 0x08004CCC 0x080009A8 0x08000770 0x08000930 0x08000754 0x08000AF4,,,0x20000478,
0x0800C7D4,0x0800C860,0x8C,62,0x080137CE,0x0800EE60 0x0800EE6C 0x08004C12 0x08004DE4 0x08004CCC,,,0x20000034 0x200004C4,
0x0800C860,0x0800C912,0xB2,86,0x0800653A 0x0800657A 0x080065AA 0x080065F4 0x0800660E 0x0800664C 0x0800667A 0x080066A8,0x08004BBC,,,,
0x0800C912,0x0800C914,0x2,1,,,,,,
0x0800C914,0x0800C924,0x10,8,0x0800CC26,,,,0x20000014,
0x0800C924,0x0800CB38,0x214,232,0x0800D764,0x080009A8 0x0800D352 0x0800060C 0x08000930 0x08000840 0x08000770 0x08013060 0x08000980 0x08011AC4 0x08000ACC 0x08012150 0x08000A68,,,0x20000014 0x200003D4,
0x0800CB38,0x0800D352,0x81A,927,,0x0800EE84 0x0800D3F8 0x0800C510 0x0800D6CC 0x0800D65C 0x0800E030 0x08000250 0x0800734C 0x0800C914 0x080073B8 0x0800D5DC 0x0800305A,[%lu] | rxDone(ACK)\r\n | rxDone\r\n | Rssi= %d\r\n,GPIOB+0x0 GPIOC+0x0,0x20000014 0x2000043C 0x20000064 0x200003D4 0x200002D4 0x200001DD 0x20000124 0x200001DA,
0x0800D352,0x0800D362,0x10,7,0x0800C514 0x0800C51C 0x0800C524 0x0800C52E 0x0800C550 0x0800C562 0x0800C572 0x0800C582,0x0800D362,,,,
0x0800D362,0x0800D3A4,0x42,29,0x0800D358 0x0800D3AC,0x080073F4 0x080078C8,,,,
0x0800D3A4,0x0800D3B4,0x10,7,0x0800CE0C 0x0800CE64 0x0800CEFC 0x0800D0D6 0x0800D0EA 0x0800D0F4,0x0800D362,,,,
0x0800D3B4,0x0800D3F8,0x44,31,0x0800CCF2,0x0800D352,,,0x200003D4,
0x0800D3F8,0x0800D554,0x15C,150,0x0800CB62 0x0800D25A,0x08000250 0x0800734C 0x080073F4 0x0800305A 0x0800E030 0x0800E07E 0x08012868 0x0800D352 0x0800DCA8 0x0800DCCC,,GPIOB+0x0,0x200003D4 0x200002D4,
0x0800D554,0x0800D5DC,0x88,61,,0x08000250 0x0800734C 0x080073F4,,,0x20000060 0x200000A4,
0x0800D5DC,0x0800D65C,0x80,57,0x0800C56C 0x0800C594 0x0800CCD8 0x0800D912 0x0800DF86,0x080000F0 0x0800E030 0x0800D65C,,,0x200003D4 0x200003F4,
0x0800D65C,0x0800D6CC,0x70,46,0x0800CB84 0x0800CB9C 0x0800CCD2 0x0800D272 0x0800D28A 0x0800D31A 0x0800D632 0x0800D72E,0x0800D352 0x0800DC74 0x0800E030,,,0x200003D4,
0x0800D6CC,0x0800D728,0x5C,42,0x0800CB6C 0x0800CCDE 0x0800D264 0x0800D328 0x0800D9AA 0x0800D9C4 0x0800DC86 0x0800DCBA,0x0800D352 0x0800E030,,,0x20000014,
0x0800D728,0x0800DC74,0x54C,589,0x0800D294,0x0800D65C 0x0800E030 0x0800D352 0x0800C924 0x0800EFE8 0x0800F8DE 0x0800D5DC 0x08000250 0x0800EF54 0x0800EF78 0x0800D6CC 0x080009A8,,,0x20000414 0x200003D4 0x2000043C 0x200002D4,
0x0800DC74,0x0800DCA8,0x34,23,0x0800CD08 0x0800D34A 0x0800D680 0x0800D6A0,0x0800EFE8 0x0800D6CC,,,0x20000450 0x20000014,
0x0800DCA8,0x0800DCCC,0x24,15,0x0800D512,0x0800EFE8 0x0800D6CC,,,0x20000450,
0x0800DCCC,0x0800DD7C,0xB0,74,0x0800D528,0x0800EFE8 0x0800EF54 0x0800D352 0x0800E030 0x0800EF78 0x0800D6CC,,,0x20000450,
0x0800DD7C,0x0800E030,0x2B4,301,0x0800DFAC,0x0800D65C 0x080009A8 0x08000840 0x08000A68 0x0800E030 0x0800D352 0x0800D5DC 0x0800DD7C 0x0800EF54 0x0800EF78 0x0800D6CC,,,0x20000014 0x200003D4 0x2000043C,
0x0800E030,0x0800E03C,0xC,5,0x0800C54A 0x0800C55C 0x0800C57C 0x0800C58E 0x0800CB8E 0x0800CD46 0x0800CD64 0x0800CD8E,0x0800E03C,,,,
0x0800E03C,0x0800E07E,0x42,29,0x0800E036 0x0800E086,0x080073F4 0x080078C8,,,,
0x0800E07E,0x0800E08C,0xE,6,0x0800D044 0x0800D100 0x0800D488 0x0800D49E 0x0800D522,0x0800E03C,,,,
0x0800E08C,0x0800E1D8,0x14C,156,0x08009DE4 0x0800A808 0x0800E920,0x08002498 0x0800C3E8 0x0800BEFE 0x0800C35E 0x0800F70C 0x0800EF54 0x0800EF78 0x0800E930,,,0x200001D8 0x20001414 0x200000AB 0x200000BC,
0x0800E1D8,0x0800E8F0,0x718,807,0x080125D4,0x080083D8 0x08001B10 0x08012300 0x08000516 0x080009C4 0x08004BA4 0x080000F0 0x08012414 0x08008A38,,GPIOB+0x0,0x20000094 0x20000125 0x2000014B 0x20000084 0x20000085 0x200000EC 0x2000014C 0x2000014D,monta o payload do uplink por MOD e envia (APPDATA)
0x0800E8F0,0x0800E930,0x40,30,0x08009200 0x080096EC,0x0800A970 0x0800E08C,,,0x200001D8 0x20001544,wrapper de transmissao (monta conf/mode e chama a pilha)
0x0800E930,0x0800EAA8,0x178,177,0x0800E1BC,0x080080EC 0x0800F06C 0x0800EE60 0x0800C44A 0x0800EF54 0x0800EF78,JoinRequest NbTrials= %d\r\n | \n\r[%lu] | \n\rPlease use AT+DEBUG to see debug inf | ***** UpLinkCounter= %u *****\n\r,,0x20001414 0x200001D8 0x20000124 0x20001558 0x200000B4 0x20001114,trace de uplink (UpLinkCounter/NbTrials)
0x0800EAA8,0x0800EB1C,0x74,54,0x080127D2,0x080000F0 0x080083D8 0x08003064 0x08008A38,,,0x20000094,fluxo pos-TX 1 (chamado pelo loop)
0x0800EB1C,0x0800EB70,0x54,40,0x08012712,0x080083D8 0x08008A38,,,0x20000094 0x20000808,fluxo pos-TX 2 (chamado pelo loop)
0x0800EB70,0x0800EBC4,0x54,39,0x0800972E,0x0800C43C 0x0800EF54 0x0800EF78,,,0x200001D8 0x20001414,
0x0800EBC4,0x0800EC00,0x3C,28,0x08009746,0x0800EF54 0x0800EF78,,,0x20001484 0x200001D8,
0x0800EC00,0x0800EC08,0x8,3,,0x080052BC,,,,
0x0800EC08,0x0800ECE8,0xE0,105,0x08012462,0x08000250 0x0800594C 0x080039B4 0x0800572C,,PWR+0x0 RCC+0x0,,SystemClock_Config
0x0800ECE8,0x0800ECF0,0x8,3,,0x0800ED48,,,,
0x0800ECF0,0x0800ED00,0x10,7,,0x08006A34,,,0x200005AC,
0x0800ED00,0x0800ED48,0x48,33,0x08001914,0x08006730 0x080039B4 0x08005344,,RCC+0x0 TIM3+0x0,0x200005AC,
0x0800ED48,0x0800ED58,0x10,7,0x0800ECEA,0x08006A34,,,0x2000029C,
0x0800ED58,0x0800EDB8,0x60,48,0x08006758 0x08006964,,,TIM3+0x0,,
0x0800EDB8,0x0800EDD0,0x18,12,0x080069C2 0x08006A0A,,,,,
0x0800EDD0,0x0800EE2C,0x5C,46,0x08006888,,,TIM3+0x0,,
0x0800EE2C,0x0800EE60,0x34,26,0x080068A6,,,,,
0x0800EE60,0x0800EE6C,0xC,4,0x080017E0 0x08001834 0x08008F82 0x0800A56A 0x0800BB3E 0x0800BD7A 0x0800C632 0x0800C668,0x08007644 0x080078A8,,,,copia de struct (memcpy pequeno)
0x0800EE6C,0x0800EE84,0x18,9,0x080017EA 0x0800183E 0x080024AA 0x0800A4E2 0x0800A548 0x0800B9E6 0x0800BA40 0x0800C2B2,0x08007644 0x080078B8 0x080078A8,,,,
0x0800EE84,0x0800EE94,0x10,8,0x08008186 0x080088F2 0x08008F4A 0x08008F60 0x08008F6A 0x08008F74 0x08008F7E 0x0800A894,,,,,timer: inicializacao (TimerInit)
0x0800EE94,0x0800EEB0,0x1C,13,0x0800EFB6,0x0800EF28,,,0x2000027C,
0x0800EEB0,0x0800EF28,0x78,56,0x08005DE6,0x0800761C 0x08007758 0x08007628 0x0800EF28,,,0x2000027C,
0x0800EF28,0x0800EF54,0x2C,18,0x0800EEA6 0x0800EF1E 0x0800F01A,0x08007618 0x08007628 0x080076BC,,,,
0x0800EF54,0x0800EF78,0x24,15,0x08008192 0x0800883C 0x080088A2 0x080088FE 0x08008F56 0x08009B7E 0x08009E70 0x0800A486,0x080078B8 0x0800EFE8 0x08007618,,,,timer: seta valor (TimerSetValue)
0x0800EF78,0x0800EFE8,0x70,51,0x08008842 0x080088AA 0x08008906 0x0800890E 0x08009B84 0x08009E76 0x0800A48E 0x0800A59A,0x08007628 0x0800EE94 0x08007758,,,0x2000027C,timer: start (TimerStart)
0x0800EFE8,0x0800F048,0x60,44,0x08008176 0x0800888A 0x08008892 0x08009AF4 0x08009B68 0x08009BA4 0x08009F08 0x08009F7C,0x0800EF28 0x08007888,,,0x2000027C,timer: stop (TimerStop)
0x0800F048,0x0800F06C,0x24,16,0x08007530,0x08013A90 0x080026D4,,,0x200018C0,
0x0800F06C,0x0800F13C,0xD0,88,0x08001820 0x08001874 0x0800189E 0x080018AA 0x0800191A 0x08001936 0x08001984 0x08001B24,0x0800F854 0x080024D8 0x080027CC 0x08008BF4 0x08013B58 0x080026FC,,,0x200018A0 0x20000284,printf/putchar (console USART)
0x0800F13C,0x0800F208,0xCC,102,0x08006E02,,,,,
0x0800F208,0x0800F27C,0x74,54,0x08006E32,0x08004BBC 0x0800F646 0x08006C86,,,,
0x0800F27C,0x0800F2C6,0x4A,34,,0x0800F31E 0x0800F300 0x08006C86,,,,
0x0800F2C6,0x0800F2F6,0x30,23,,0x08007210,,,,
0x0800F2F6,0x0800F300,0xA,4,,0x08007220,,,,
0x0800F300,0x0800F31E,0x1E,15,0x08006D38 0x0800F2B2,,,,,
0x0800F31E,0x0800F330,0x12,9,0x0800F29A,,,,,
0x0800F330,0x0800F3B0,0x80,63,0x08006CA2 0x08006D24,0x08006FB4,,,,
0x0800F3B0,0x0800F5E0,0x230,265,0x08006E08,0x080053E0 0x08005894 0x080058D4 0x08000144 0x0800F8DE 0x080058B4 0x080000F0,,LPUART1+0x0 RCC+0x40 USART1+0x0 USART2+0x0 USART4+0x0 USART5+0x0,,
0x0800F5E0,0x0800F646,0x66,51,0x08006DA6,,,,,
0x0800F646,0x0800F6A8,0x62,48,0x08006C68 0x080070C6 0x080070F8 0x0800F22C 0x0800F248,0x08004BBC,,,,
0x0800F6A8,0x0800F6EC,0x44,31,0x08001E9A,0x08004BA4 0x08013974 0x0800132C,,,0x2000012C,
0x0800F6EC,0x0800F6F4,0x8,3,,0x080134A0,,,,
0x0800F6F4,0x0800F70C,0x18,11,,0x0800EFE8,,,0x200000B4 0x200008B4,
0x0800F70C,0x0800F754,0x48,35,0x080098F8 0x0800E13C,0x0800C38A,,,0x20001434 0x200001D8,
0x0800F754,0x0800F790,0x3C,28,0x08001974 0x0800222C 0x08013BEE,0x08000250 0x08004A20,,GPIOB+0x0 RCC+0x0,,
0x0800F790,0x0800F7CC,0x3C,28,0x0800195E 0x0800221E 0x08013BD6,0x08000250 0x0800734C,,GPIOB+0x0 RCC+0x0,,
0x0800F7CC,0x0800F808,0x3C,28,0x08001970 0x08002228 0x08013BEA,0x08000250 0x08004A20,,RCC+0x0,,
0x0800F808,0x0800F854,0x4C,35,0x0800195A 0x0800221A 0x08013BD2,0x08000250 0x0800734C 0x08004BAE,,RCC+0x0,,
0x0800F854,0x0800F880,0x2C,21,0x0800F07E,0x0800FA94,,,,
0x0800F880,0x0800F8AE,0x2E,23,0x08000D3E 0x08000D44,,,,,
0x0800F8AE,0x0800F8DE,0x30,24,0x080078AC,,,,,
0x0800F8DE,0x0800F8F8,0x1A,13,0x0800165E 0x08008482 0x08009250 0x08009364 0x0800A932 0x0800AC74 0x0800B4EA 0x0800C100,,,,,"printf de byte em hex (""%02x"")"
0x0800F8F8,0x0800F920,0x28,20,0x0800044E 0x08000C70 0x08000C86 0x080012C0,,,,0x20000288,
0x0800F920,0x0800FA94,0x174,175,0x0800FF4C 0x0800FF74 0x0800FFCC,0x08000770 0x08000840 0x08000ACC 0x0800060C 0x08000E50 0x08000144,,,,
0x0800FA94,0x08010180,0x6EC,875,0x0800F870,0x080101A0 0x08000144 0x08010180 0x0800F920 0x080000F0,0123456789abcdef | 0123456789ABCDEF,,,
0x08010180,0x080101A0,0x20,16,0x0800FEC8,,,,,
0x080101A0,0x080101E2,0x42,33,0x0800FC6E 0x0800FE36 0x0800FE60 0x080100DE 0x08010100,,,,,
0x080101E2,0x08010238,0x56,38,0x08001424 0x08001536 0x080015E0 0x0800160E 0x08009090 0x080090BE 0x080090F0 0x08009102,0x08011F78 0x080128AC 0x08013C04 0x080131D0,,,,
0x08010238,0x08010392,0x15A,167,0x08001572 0x08009060 0x080090E6 0x08009790,0x080000F0 0x08012DAC 0x0801354C 0x08009238 0x0801387C,,,0x20000124,
0x08010392,0x080103BC,0x2A,19,,0x08009330 0x0801387C,,,,
0x080103BC,0x080103CA,0xE,5,,0x080122C8 0x08012D54,,,,
0x080103CA,0x080103EE,0x24,15,,0x080132B8 0x080122D0,,,,
0x080103EE,0x080103FC,0xE,5,,0x080122E4 0x08012D08,,,,
0x080103FC,0x08010422,0x26,16,,0x08013244 0x080122EC,,,,
0x08010422,0x08010430,0xE,5,,0x08012318 0x08012D08,,,,
0x08010430,0x08010764,0x334,370,,0x08013244 0x08012320 0x08009238 0x0800F06C 0x0800EFE8 0x08012DE4 0x08004852 0x0800EF78 0x08012090 0x08012DAC 0x08000980 0x08000770,"\n\rStop Tx events,Please wait for all c | \n\rStart Tx events\r\n | %.1f  | Use default channel\r\n",,0x20000218 0x20001484 0x200014B4 0x20001518 0x200014C8 0x200014DC 0x2000083C 0x20000147,
0x08010764,0x080107D2,0x6E,51,,0x0801354C 0x08012450 0x0800F06C 0x08012334,%hhu | Attention:Take effect after AT+ADR=0\r\n,,,
0x080107D2,0x080107F6,0x24,15,,0x08013334 0x0801237C,,,,
0x080107F6,0x08010804,0xE,5,,0x08012388 0x08012D54,,,,
0x08010804,0x08010828,0x24,15,,0x080132B8 0x08012390,,,,
0x08010828,0x080108D4,0xAC,77,,0x08009238 0x0801387C 0x0800F06C 0x08009330 0x08012DC8,%c\r\n | Attention:Take effect after ATZ\r\n,,,
0x080108D4,0x08010B32,0x25E,275,,0x0801354C 0x08009330 0x0801387C 0x080123A4 0x0800F06C 0x080123B0 0x08012DAC 0x08003774 0x08003714 0x08004852 0x08009AB8 0x08003B5C,%lu | 0\r\n | 1\r\n | Attention:Take effect after ATZ\r\n,,0x20000124 0x2000014C 0x2000014D 0x2000014E,
0x08010B32,0x08010BD0,0x9E,69,,0x08009238 0x0801387C 0x08012DC8 0x0801354C 0x08009330 0x0800F06C,%lu | Attention:Take effect after ATZ\r\n,,,
0x08010BD0,0x08010D44,0x174,171,,0x0801354C 0x08009330 0x0801387C 0x0800F06C 0x08012DAC 0x08009238 0x08013334,%lu | Attention:Take effect after ATZ\r\n | Mode of range is 1 to 9\r\n | %02x %02x %02x %02x\r\n,,0x2000014B,
0x08010D44,0x08010D58,0x14,8,,0x080123FC 0x08012DAC,,,,
0x08010D58,0x08010DCC,0x74,54,,0x08012408 0x0800F06C 0x08009238 0x08012DAC,Attention:Take effect after ATZ\r\n,,,
0x08010DCC,0x08010DDA,0xE,5,,0x080123E0 0x08012D08,,,,
0x08010DDA,0x08010E00,0x26,16,,0x08013244 0x080123E8,,,,
0x08010E00,0x08010E22,0x22,14,,0x08009238 0x0801387C 0x08012DAC,,,,
0x08010E22,0x08010E4C,0x2A,19,,0x08009330 0x0801387C,,,,
0x08010E4C,0x08010FE8,0x19C,191,,0x08012DAC 0x0801354C 0x0800F06C 0x08009238 0x0801387C 0x08012DC8,%lu | The RJTDC range is 1 to 65535\n\r | The response level range is 0 to 5\n\r | %d:,,0x200000BC 0x200000B1 0x20000124 0x20000ABC,
0x08010FE8,0x0801109C,0xB4,76,,0x0801354C 0x08009330 0x0801387C 0x08009238 0x08012DAC 0x08012DC8,%lu | %hhu,,0x2000014A,
0x0801109C,0x080110E4,0x48,30,,0x0801354C 0x08009330 0x0801387C 0x08009238 0x08012DAC,%lu,,,
0x080110E4,0x0801135C,0x278,292,,0x08009238 0x0801387C 0x0801354C 0x08009330 0x08000266 0x0800F06C 0x08012868 0x08012414 0x08008A38 0x08012DC8 0x08012DAC,"%lu | %d,%lu | %u: | AT+SEND without the application port",,0x200000D4 0x200000D8 0x20000134 0x200000C4,
0x0801135C,0x080113E0,0x84,59,,0x0801354C 0x08009330 0x0801387C 0x0800F06C 0x08009238 0x08012DC8,%hhu | Attention:Take effect after AT+ADR=0\r\n,,,
0x080113E0,0x08011764,0x384,422,,0x0801354C 0x08009330 0x0801387C 0x08012414 0x0800F06C 0x08012420 0x08012300 0x08012DAC 0x0801230C 0x08001B10 0x080123C8 0x08009AB8,"%lu | %d,%d,%d\r\n | %d,%d,%d | %hhu",,0x200000B5 0x200000B6 0x20000144 0x20000145 0x20000146 0x200000BE 0x200000C0 0x200000B2,
0x08011764,0x080118E0,0x17C,178,,0x0801242C 0x08012DAC 0x08000266 0x0801354C 0x0800F06C 0x08012438 0x08012DC8,"%hhx | %d,%d\r\n | %d,%d",,0x20000160 0x200000B7 0x200000B8 0x20000124,AT+RSSI: get
0x080118E0,0x08011A50,0x170,167,0x080134CC,0x0800EE60 0x080071B8 0x0800EE6C 0x08006F14 0x08004852 0x0800F06C 0x08013048 0x08000AA4 0x0801354C 0x080009A8 0x08000840 0x0800060C,v1.8.1  | %0.1f\r\n | %d.%d,,0x20000114 0x20000A0C 0x2000005C,
0x08011A50,0x08011AC4,0x74,48,0x08001888 0x08001CF8,0x08004852 0x080080A8 0x08007F06 0x080009A8 0x08000840 0x08000A68 0x08000972,,,0x20000046,
0x08011AC4,0x08011B8C,0xC8,93,0x0800C06A 0x0800C0BA 0x0800CAB4,0x0800060C 0x08000ACC 0x08000760,,,,
0x08011B8C,0x08011B9C,0x10,8,0x08009994,,,,0x20001864,
0x08011B9C,0x08011BB0,0x14,10,0x08009A2E,,,,0x20001884,
0x08011BB0,0x08011BBC,0xC,6,0x08008A46 0x0800998C 0x08009A24,,,,0x200017A4,
0x08011BBC,0x08011D90,0x1D4,219,0x080099B8,0x0800F8DE 0x08009238 0x08009330 0x0800EFE8 0x0800EE84 0x0800EF54 0x0800EF78 0x08004852 0x080095B8,,,0x200017A4 0x20000270 0x2000083C,
0x08011D90,0x08011E3C,0xAC,83,0x08009B34,0x08009854 0x0800EF78 0x0800910C,,,0x20001884 0x20000270,
0x08011E3C,0x08011EE8,0xAC,81,0x0801329C 0x080132AA 0x080132F2 0x08013300 0x0801335C 0x0801336A,0x08000266 0x080002C4 0x0800F06C,%hhx | AT_PARAM_ERROR(Incorrect Length)\r\n,,,
0x08011EE8,0x08011F5C,0x74,53,0x0800192C,0x080023A4 0x08007058 0x08006F14 0x08004852 0x080138A8,,,0x20000A0C 0x20000047 0x20000119,
0x08011F5C,0x08011F78,0x1C,13,0x08002488 0x08012B78,0x0800F06C,,,,imprime ajuda geral dos comandos AT
0x08011F78,0x08011FFC,0x84,66,0x080101FA 0x08010228,,,,,
0x08011FFC,0x0801203E,0x42,33,0x080128B4,,,,,
0x0801203E,0x08012078,0x3A,29,0x08002AC6,,,,,
0x08012078,0x08012084,0xC,6,0x0800AF88 0x0800B5F8 0x080106CA,,,,0x20000164,
0x08012084,0x08012090,0xC,6,0x080106FA,,,,0x20000164,
0x08012090,0x0801209C,0xC,6,0x08002890 0x0800289A 0x080028DC 0x0800306C 0x0800A0A8 0x0800B6AE 0x0800B6B4 0x0800B8DA,,,,0x20000164,
0x0801209C,0x080120A8,0xC,6,0x080087AC 0x08010676,,,,0x20000164,
0x080120A8,0x08012150,0xA8,82,0x0800825A 0x08008272,0x08003388 0x080030B8,,,0x2000016C 0x2000012A 0x200000C4 0x200000BC 0x2000005C 0x2000012C 0x200000B2 0x200000C0,impressao de configuracao/parametros
0x08012150,0x08012218,0xC8,93,0x0800C154 0x0800CB00,0x0800060C 0x08000ACC 0x08000760,,,,utilitario de configuracao
0x08012218,0x08012264,0x4C,35,0x08012472,0x08003E9C 0x08005248 0x080039B4,,IWDG+0x0 RCC+0x40,0x20000008 0x2000028C,le causa de reset (RCC_CSR/IWDG) e inicializa
0x08012264,0x080122C8,0x64,49,0x080081DC,0x0800F06C,DevEui= %02X %02X %02X %02X %02X %02X %0 | 2X %02X %02X %02X %02X %02X\n\r,,0x2000016C,
0x080122C8,0x080122D0,0x8,4,0x080103BE,,,,0x2000017C,
0x080122D0,0x080122E4,0x14,9,0x080103E6,0x08012868,,,0x2000017C,
0x080122E4,0x080122EC,0x8,4,0x080103F0,,,,0x20000184,
0x080122EC,0x08012300,0x14,9,0x08010418,0x08012868,,,0x20000184,
0x08012300,0x0801230C,0xC,6,0x0800E208 0x080114D6,,,,0x200001AC,get do byte de modo de trabalho (RAM 0x200001B7)
0x0801230C,0x08012318,0xC,6,0x0800879A 0x080114FC,,,,0x200001AC,set do byte de modo de trabalho (RAM 0x200001B7)
0x08012318,0x08012320,0x8,4,0x08010424,,,,0x200001A4,
0x08012320,0x08012334,0x14,9,0x0801044C,0x08012868,,,0x200001A4,
0x08012334,0x0801237C,0x48,34,0x080107CA,0x0800F06C,%02x ,,0x2000016C,"impressao de config (4 bytes + ""AT%s="")"
0x0801237C,0x08012388,0xC,6,0x080107EE,,,,0x2000016C,
0x08012388,0x08012390,0x8,4,0x080107F8,,,,0x2000016E,
0x08012390,0x080123A4,0x14,9,0x08010820,0x08012868,,,0x2000016E,
0x080123A4,0x080123B0,0xC,6,0x080108FE,,,,0x2000016C,
0x080123B0,0x080123C8,0x18,11,0x0801093E,0x08009920,,,0x2000016C,
0x080123C8,0x080123E0,0x18,12,0x0801174A,,,,0x2000016C,
0x080123E0,0x080123E8,0x8,4,0x08010DCE,,,,0x20000194,
0x080123E8,0x080123FC,0x14,9,0x08010DF6,0x08012868,,,0x20000194,
0x080123FC,0x08012408,0xC,6,0x08008168 0x08009B5A 0x08010D46,,,,0x2000016C,
0x08012408,0x08012414,0xC,6,0x080086D2 0x08010D6E,,,,0x2000016C,
0x08012414,0x08012420,0xC,6,0x08008846 0x0800A886 0x0800E8C4 0x080111B8 0x0801127C 0x0801140E 0x08012766,,,,0x200001AC,
0x08012420,0x0801242C,0xC,6,0x08008538 0x08008552 0x0800858A 0x08011496 0x080114A6,,,,0x200001AC,
0x0801242C,0x08012438,0xC,6,0x08011766,,,,0x200001AC,
0x08012438,0x08012444,0xC,6,0x08011852,,,,0x200001AC,
0x08012444,0x08012450,0xC,6,0x0800A0D2,,,,0x200001AC,
0x08012450,0x08012868,0x418,471,0x08008766 0x08010788,0x080052CC 0x0800EC08 0x080029D8 0x08007514 0x0800242C 0x08012218 0x0800EE84 0x0800EF54 0x0800EF78 0x08003AC8 0x080036AC 0x08004852,,GPIOB+0x0,0x200001AC 0x20000864 0x200000E0 0x20000218 0x2000014B 0x2000014C 0x2000014D 0x2000014E,helper: grava byte em RAM 0x200001C0
0x08012868,0x0801287E,0x16,11,0x0800152C 0x080015AA 0x08001604 0x08001618 0x0800162A 0x0800907C 0x08009086 0x080090AA,,,,,memcpy
0x0801287E,0x08012898,0x1A,13,0x0800A9C2 0x0800A9D4,,,,,
0x08012898,0x080128AC,0x14,10,0x0800141A 0x08001540 0x08001552 0x08001562 0x08009056 0x0800906A 0x0800909A 0x080090DC,,,,,memset
0x080128AC,0x08012AC4,0x218,267,0x08010202,0x08011FFC,,,,
0x08012AC4,0x08012B30,0x6C,46,0x080124B4,0x08003AB8 0x08013468 0x080037C4 0x08003774 0x08003714 0x08004852 0x08009AD4,,,0x20000144,"pos-boot: carrega config, inicializa pilha e imprime banner"
0x08012B30,0x08012D08,0x1D8,218,0x0800247E,0x08000290 0x08011F5C 0x0800F06C 0x08000274 0x080036AC 0x08003388,+DEUI | +APPEUI | +APPKEY | +DADDR,,,interpretador de comandos AT (busca na tabela e despacha)
0x08012D08,0x08012D54,0x4C,37,0x080103F4 0x08010428 0x08010DD2,0x0800F06C,x %02x %02x %02x %02x %02x %02x\r\n,,,impressao de bloco de 13 bytes em hex
0x08012D54,0x08012DAC,0x58,43,0x080103C2 0x080107FC,0x0800F06C,%02x %02x %02x %02x %02x %02x %02x %02x\ |  %02x %02x %02x\r\n,,,impressao de bloco de 8 bytes em hex
0x08012DAC,0x08012DC8,0x1C,13,0x0801033A 0x0801038A 0x08010572 0x0801075C 0x0801094E 0x080109EA 0x08010A56 0x08010AC2,0x0800F06C,%d\r\n,,,
0x08012DC8,0x08012DE4,0x1C,13,0x080106CE 0x080108CC 0x08010B4A 0x08010BC8 0x08010FE0 0x08011094 0x080112CE 0x080113D8,0x0800F06C,%u\r\n,,,
0x08012DE4,0x08012E2C,0x48,34,0x080104B2,0x0800F06C 0x08004852,AT%s=,,,
