endereco,fim,tamanho,n_insn,chamadores,chama,strings,perifericos,globais_ram,papel_inferido
0x08007224,0x08007280,0x5C,45,0x0800751E,0x080040D4,,ADC1+0x0 RCC+0x0,0x20000110 0x200008C8,ADC: leitura de canal (tensao de bateria)
0x08007280,0x08007314,0x94,68,0x08001DDA 0x08002106 0x08002142 0x08002180 0x08007404 0x0800747C 0x08007494,0x08003F8C 0x08004038 0x08004358 0x0800429A 0x080040CC,,PWR+0x0 RCC+0x0,0x20000110 0x200008C8,ADC/GPIO init e controle de energia (RCC/PWR)
0x08007314,0x0800734C,0x38,28,0x080073A2 0x080073C2,,,,,
0x0800734C,0x080073A0,0x54,41,0x08003D0A 0x08003D46 0x08003DC2 0x08003E3A 0x0800798A 0x080079A0 0x080079B6 0x080079CE,0x08004A20,,RCC+0x0,,
0x080073A0,0x080073B8,0x18,11,0x08004A02,0x08007314,,,0x20000608,
0x080073B8,0x080073F4,0x3C,26,0x0800CC8A 0x0800CC9A 0x0800CCA8 0x0800CCB6,0x08007314 0x08009940 0x08005344 0x08005330,,,0x20000608,
0x080073F4,0x08007400,0xC,5,0x08007994 0x080079AA 0x080079C0 0x080079D8 0x08007A34 0x0800D376 0x0800D39E 0x0800D422,0x08004BAE,,,,
0x08007400,0x08007514,0x114,130,0x08001B18,0x08007280 0x080000F0 0x0800011C,,,0x200000C2,conversao leitura ADC -> tensao (escala)
0x08007514,0x0800754C,0x38,22,0x0801246A,0x08007224 0x080078E8 0x08007654 0x0800F048 0x080030B8 0x0800179C,,,0x20000110,ADC: init no boot
0x0800754C,0x08007574,0x28,17,0x0800305C,0x08000144 0x08007644,,,,
0x08007574,0x08007618,0xA4,79,0x08007630 0x0800764C 0x08007762,0x08005EE8 0x08005EA4,,,0x20000648,
0x08007618,0x0800761C,0x4,2,0x0800EF2C 0x0800EF66,,,,,
0x0800761C,0x08007628,0xC,6,0x0800EEB2,,,,0x20000694,
0x08007628,0x08007644,0x1C,13,0x080076C0 0x0800EEFA 0x0800EF36 0x0800EF46 0x0800EFA2,0x08007574,,,0x20000694,
0x08007644,0x08007654,0x10,7,0x0800755C 0x08007566 0x0800EE62 0x0800EE70,0x08007574,,,,
0x08007654,0x08007680,0x2C,19,0x0800752C,0x080076F8 0x08005DEC 0x08007758,,,0x2000008E 0x20000648,
0x08007680,0x080076BC,0x3C,28,0x0800B264,0x08008BF4 0x08005DE4,,EXTI+0x0,0x20000648,
0x080076BC,0x080076F8,0x3C,26,0x0800EF4E,0x08007628 0x08008BF4 0x08008BA4 0x08007770,,,0x2000008E,
0x080076F8,0x08007758,0x60,44,0x0800765E,0x08005F44 0x080061E4 0x080062B0 0x08005DA8,,RTC+0x0,0x20000648,
0x08007758,0x08007770,0x18,11,0x0800766C 0x0800EEB8 0x0800EFBC,0x08007574,,,0x20000694,
